implementation,ticket_id,run_index,step,latency_ms
baml,T006,5,classification,962.965790880844
baml,T006,5,draft,2560.5844168458134
baml,T006,5,facts,1536.7289159912616
baml,T007,1,classification,1226.266291923821
baml,T007,1,draft,5017.310375114903
baml,T007,1,facts,2765.1751250959933
baml,T007,2,classification,1136.897583026439
baml,T007,2,draft,2660.963833099231
baml,T007,2,facts,2238.3332909084857
baml,T007,3,classification,1226.4890000224113
baml,T007,3,draft,2852.032915921882
baml,T007,3,facts,2953.0730000697076
baml,T007,4,classification,1332.7798338141292
baml,T007,4,draft,2950.5395831074566
baml,T007,4,facts,3222.736082971096
baml,T007,5,classification,1124.3062501307577
baml,T007,5,draft,2743.404416833073
baml,T007,5,facts,2797.1962080337107
baml,T008,1,classification,1520.0254588853568
baml,T008,1,draft,2765.1827910449356
baml,T008,1,facts,3176.326874876395
baml,T008,2,classification,1054.6349158976227
baml,T008,2,draft,2625.663499813527
baml,T008,2,facts,2153.7723750807345
baml,T008,3,classification,1019.4670001510531
baml,T008,3,draft,3270.377582870424
baml,T008,3,facts,2464.4840001128614
baml,T008,4,classification,1532.5986249372363
baml,T008,4,draft,2558.601750060916
baml,T008,4,facts,1945.9273340180516
baml,T008,5,classification,1143.633957952261
baml,T008,5,draft,2570.324582979083
baml,T008,5,facts,2530.8505001012236
baml,T009,1,classification,1429.8273329623044
baml,T009,1,draft,3045.759500004351
baml,T009,1,facts,2279.955792007968
baml,T009,2,classification,1276.2483751866966
baml,T009,2,draft,7287.681624991819
baml,T009,2,facts,3123.1020418927073
baml,T009,3,classification,11102.659542113543
baml,T009,3,draft,2865.1660829782486
baml,T009,3,facts,2290.314541896805
baml,T009,4,classification,1930.3887500427663
baml,T009,4,draft,6060.408625053242
baml,T009,4,facts,1941.2685839924961
baml,T009,5,classification,1323.5217919573188
baml,T009,5,draft,3514.8357921279967
baml,T009,5,facts,3252.255667001009
baml,T010,1,classification,1313.4387079626322
baml,T010,1,draft,2378.9306248072535
baml,T010,1,facts,2669.267291901633
baml,T010,2,classification,1200.748624978587
baml,T010,2,draft,2755.773124983534
baml,T010,2,facts,2364.6385420579463
baml,T010,3,classification,5046.634583035484
baml,T010,3,draft,3379.278249805793
baml,T010,3,facts,2732.6345830224454
baml,T010,4,classification,1135.415791068226
baml,T010,4,draft,2653.5864579491317
baml,T010,4,facts,1636.1922500655055
baml,T010,5,classification,1121.5354590676725
baml,T010,5,draft,2559.6979160327464
baml,T010,5,facts,2461.968374904245
baml,T011,1,classification,1002.47862492688
baml,T011,1,draft,2440.757167059928
baml,T011,1,facts,2577.9340411536396
baml,T011,2,classification,1054.4716250151396
baml,T011,2,draft,2591.4949998259544
baml,T011,2,facts,2714.876208920032
baml,T011,3,classification,1123.170959064737
baml,T011,3,draft,2969.841874903068
baml,T011,3,facts,2971.1329170968384
baml,T011,4,classification,1122.1507920417935
baml,T011,4,draft,2982.8654997982085
baml,T011,4,facts,2854.697084054351
baml,T011,5,classification,1028.6905418615788
baml,T011,5,draft,2968.3971249032766
baml,T011,5,facts,3163.9554160647094
baml,T012,1,classification,1225.7086660247296
baml,T012,1,draft,5017.627957975492
baml,T012,1,facts,2357.1093331556767
baml,T012,2,classification,1054.0126250125468
baml,T012,2,draft,1991.6253339033574
baml,T012,2,facts,1911.5306660532951
baml,T012,3,classification,1486.259707948193
baml,T012,3,draft,2354.727208148688
baml,T012,3,facts,1844.055874971673
baml,T012,4,classification,1166.7572911828756
baml,T012,4,draft,2227.8945420403033
baml,T012,4,facts,2539.9754580575973
baml,T012,5,classification,1002.8040001634508
baml,T012,5,draft,1961.5597501397133
baml,T012,5,facts,1745.2055420726538
openai_structured,T001,1,classification,877.4670828133821
openai_structured,T001,1,draft,2716.7601250112057
openai_structured,T001,1,facts,2398.596415994689
openai_structured,T001,2,classification,1267.0499999076128
openai_structured,T001,2,draft,2985.031459014863
openai_structured,T001,2,facts,2645.437041996047
openai_structured,T001,3,classification,1023.7270828802139
openai_structured,T001,3,draft,3071.4945408981293
openai_structured,T001,3,facts,2428.428207989782
openai_structured,T001,4,classification,945.5001668538898
openai_structured,T001,4,draft,2810.816666809842
openai_structured,T001,4,facts,2314.1939169727266
openai_structured,T001,5,classification,1795.3252498991787
openai_structured,T001,5,draft,2774.669541977346
openai_structured,T001,5,facts,2472.5698339752853
openai_structured,T002,1,classification,1087.4952499289066
openai_structured,T002,1,draft,3101.6145839821547
openai_structured,T002,1,facts,2932.986166793853
openai_structured,T002,2,classification,1282.5863750185817
openai_structured,T002,2,draft,2938.339167041704
openai_structured,T002,2,facts,2787.824499886483
openai_structured,T002,3,classification,2298.662875080481
openai_structured,T002,3,draft,5632.68229085952
openai_structured,T002,3,facts,2827.81199994497
openai_structured,T002,4,classification,1110.7328340876848
openai_structured,T002,4,draft,2738.9642919879407
openai_structured,T002,4,facts,3171.9935829751194
openai_structured,T002,5,classification,1182.055165991187
openai_structured,T002,5,draft,3119.360457872972
openai_structured,T002,5,facts,2902.8758339118212
openai_structured,T003,1,classification,1124.2214171215892
openai_structured,T003,1,draft,2458.8049589656293
openai_structured,T003,1,facts,3276.2937089428306
openai_structured,T003,2,classification,1244.556917110458
openai_structured,T003,2,draft,2457.8230830375105
openai_structured,T003,2,facts,6023.268375080079
openai_structured,T003,3,classification,2248.391499975696
openai_structured,T003,3,draft,2882.4033341370523
openai_structured,T003,3,facts,2140.4942499939352
openai_structured,T003,4,classification,2637.578041991219
openai_structured,T003,4,draft,2712.8415000624955
openai_structured,T003,4,facts,2680.015749996528
openai_structured,T003,5,classification,993.0699998512864
openai_structured,T003,5,draft,3544.881333131343
openai_structured,T003,5,facts,4110.979541903362
openai_structured,T004,1,classification,1196.4336251839995
openai_structured,T004,1,draft,2990.8752501942217
openai_structured,T004,1,facts,3098.496916005388
openai_structured,T004,2,classification,854.0038750506938
openai_structured,T004,2,draft,2973.0947089847177
openai_structured,T004,2,facts,2764.4217498600483
openai_structured,T004,3,classification,1159.5480001997203
openai_structured,T004,3,draft,3269.4638329558074
openai_structured,T004,3,facts,2868.99883300066
openai_structured,T004,4,classification,1182.4164998251945
openai_structured,T004,4,draft,2876.527125015855
openai_structured,T004,4,facts,2610.6532078702003
openai_structured,T004,5,classification,1011.3495830446482
openai_structured,T004,5,draft,2652.6164580136538
openai_structured,T004,5,facts,2671.0916669107974
openai_structured,T005,1,classification,1226.3559168204665
openai_structured,T005,1,draft,3685.883541824296
openai_structured,T005,1,facts,2969.9049580376595
openai_structured,T005,2,classification,1304.0908330585808
openai_structured,T005,2,draft,3530.390250030905
openai_structured,T005,2,facts,3199.221125105396
openai_structured,T005,3,classification,980.121832806617
openai_structured,T005,3,draft,3740.7961660064757
openai_structured,T005,3,facts,3282.4883749708533
openai_structured,T005,4,classification,910.3527921251953
openai_structured,T005,4,draft,2996.887292014435
openai_structured,T005,4,facts,3033.0142499879003
openai_structured,T005,5,classification,1088.1234579719603
openai_structured,T005,5,draft,3995.4867500346154
openai_structured,T005,5,facts,2426.690625026822
openai_structured,T006,1,classification,1216.7289170902222
openai_structured,T006,1,draft,2631.72912504524
openai_structured,T006,1,facts,17257.23816594109
openai_structured,T006,2,classification,1226.0189168155193
openai_structured,T006,2,draft,2457.784542115405
openai_structured,T006,2,facts,2456.9288750644773
openai_structured,T006,3,classification,1533.7289590388536
openai_structured,T006,3,draft,2990.3040409553796
openai_structured,T006,3,facts,2358.940999954939
openai_structured,T006,4,classification,858.4270409774035
openai_structured,T006,4,draft,2655.6090000085533
openai_structured,T006,4,facts,3208.6554169654846
openai_structured,T006,5,classification,932.35491681844
openai_structured,T006,5,draft,2708.5209579672664
openai_structured,T006,5,facts,2655.1440830808133
openai_structured,T007,1,classification,1035.1331250276417
openai_structured,T007,1,draft,3406.3965419773012
openai_structured,T007,1,facts,2880.967792123556
openai_structured,T007,2,classification,1019.0677079372108
openai_structured,T007,2,draft,3187.4837500508875
openai_structured,T007,2,facts,2385.7241249643266
openai_structured,T007,3,classification,881.806958001107
openai_structured,T007,3,draft,3732.389291981235
openai_structured,T007,3,facts,2964.4022500142455
openai_structured,T007,4,classification,975.4909581970423
openai_structured,T007,4,draft,3583.5108750034124
openai_structured,T007,4,facts,3282.518333988264
openai_structured,T007,5,classification,1219.1731249913573
openai_structured,T007,5,draft,3079.660582821816
openai_structured,T007,5,facts,2433.656834065914
openai_structured,T008,1,classification,1007.8334170393646
openai_structured,T008,1,draft,3066.1125001497567
openai_structured,T008,1,facts,2878.1617910135537
openai_structured,T008,2,classification,1454.8683750908822
openai_structured,T008,2,draft,3462.0129170361906
openai_structured,T008,2,facts,2990.1022501289845
openai_structured,T008,3,classification,1005.269292043522
openai_structured,T008,3,draft,3327.4872079491615
openai_structured,T008,3,facts,2831.5288331359625
openai_structured,T008,4,classification,1006.9059580564499
openai_structured,T008,4,draft,3379.7798750456423
openai_structured,T008,4,facts,2984.2148749157786
openai_structured,T008,5,classification,923.6934168729931
openai_structured,T008,5,draft,3480.401041917503
