implementation,step,calls,median_latency_ms,p95_latency_ms
baml,classification,60,1257.2294789133593,2309.213750064373
baml,draft,60,3101.6964790178463,4068.0906251072884
baml,facts,60,3071.52666663751,4114.636792102829
openai_structured,classification,60,1076.0332704521716,1462.7490830607712
openai_structured,draft,60,2775.8203744888306,3772.352042142302
openai_structured,facts,60,2779.2242920259014,5605.906333075836
openai_json,classification,60,1087.1784170158207,1965.7421670854092
openai_json,draft,60,2809.767979080789,6576.381915947422
openai_json,facts,60,2707.6595204416662,3610.316833946854
